Song_Id,Genre,Key,BPM
id_3L4UvL4IKlY,Others,A#,143.2
id_sGKsvfSPey0,Afrobeats,A,118.0
id_2HLi_WmWS3E,Afrobeats,A#,107.3
id_aQKe5uSjTo8,Dancehall,G,114.0
id_4fEn7hIR1hc,Hip Hop,C,130.0
id_1MzJLtu1V78,Reggae,Dm,86.0
id_Z-KC1wTrVfI,Afrobeats,F,126.0
id_aoWwryj46hs,Others,C#m,140.0
id_vm6oro4gBJg,Others,G#,100.0
id_rJOa3SLTx60,Afrobeats,Dm,124.1
id_LXh7lCkCcOY,Others,A#m,99.3
id_1JsCJcxxCUo,Others,Em,114.3
id_U2nFJoCJwhI,Others,A#,147.0
id_05wFt94q3AA,Afrobeats,Am,100.0
id_gd3wcTB0PwE,Hip Hop,A#,145.0
id_6rgGvSZa54Y,Others,F,96.0
id_l_SSXvIAyuA,Dancehall,A#,99.9
id_MpL6fjPT7Co,Dancehall,C,107.0
id_tlRtOtOczKU,Dancehall,Bm,99.0
id_KUIN-cLuGU4,Afrodancehall,D,94.0
id_EtM8Zkpr1p8,Afrobeats,C,96.1
id_GgZYUuSuMk4,Others,C#m,113.0
id_Sn_3Mg-ISpk,Dancehall,C#m,98.0
id_ZBR2LTp2914,Dancehall,Em,96.0
id_DOW3uSR0GQo,Afrobeats,Am,98.0
id_liMtJ9T67TY,Afrobeats,G,128.0
id_BHn7hW1ESNY,Afrobeats,B,108.0
id_6gq16sNJ8Mc,Dancehall,Gm,98.0
id_PCJFwaiXuh0,Amapiano,F#,113.0
id_WbQ8_OEtYMM,Hip Hop,C#m,149.0
id_40E2JxwGpSk,Afrobeats,Ebm,140.0
id_M0im9Hl3BJA,Afrobeats,B,102.0
id_ETbluxxIkIc,Afrobeats,G,120.0
id_zxvmy-XS0lQ,Dancehall,Bm,100.1
id_S64ZRHgrEOg,Hip Hop,A#m,95.0
id_PGm-c6hCSpM,Others,C#m,88.5
id_b0IwQ60JgFc,Afrobeats,A#,97.0
id_w1mUIBarQu8,Country,C,104.0
id_MJYlBXJgB2g,Igbo Pop/Ogene,C#,103.0
id_HDZPDLcd0zo,Afrobeats,Eb,112.0
id_I8YF9-s4j44,Others,C#m,102.2
id_org5IEvs184,Afrobeats,G#,108.0
id_6LcfWd_0gWY,Afrobeats,F#,115.0
id_hVHc2TfD7RE,Afrobeats,A#,125.0
id_lpPs053k-sE,Hip Hop,Am,95.0
id_Df7wskZjjc8,Afrobeats,F,97.0
id_H7Bo0bx05j8,RnB,Gm,100.0
id_o-0dhyUItj8,Afrodancehall,F,94.0
id_dVC2VEhR8ks,Afrodancehall,A,148.0
id_a7Lk-wym0sA,Afrobeats,Em,103.0
id_J65jV64uVXU,Amapiano,G#m,113.0
id__lBHi2yuCZY,Others,A#m,94.8
id_Bovm6-15Ooo,Amapiano,Cm,110.0
id_FYOhSqD6FO8,Others,Fm,116.2
id_dcNs4chQRFA,Others,E,121.0
id_AdJRLTSX6Zc,Afrobeats,D,104.0
id_DtpwxMNw360,Afrobeats,A#m,105.0
id_WiGd6e4MCPY,Others,A,100.0
id_iSgXrOsE5hE,Afrobeats,Eb,106.0
id_Zrd-ZJMWySs,Afrodancehall,Cm,98.0
id_d8-TZoXfvVY,Afrobeats,Em,113.0
id__S2jHTXJ-c8,Hip Hop,A#m,89.0
id_H22N7nWoe7U,Hip Hop,C#m,136.0
id_o5Uu1BY-VGY,Afrobeats,E,113.0
id_9uO2_oSteLE,Afrobeats,Fm,114.0
id_kVkZPrNs_M8,Afrobeats,D,114.0
id_s9pUiA8Ku4g,Afrobeats,C#,105.0
id_1GNib_j_KtU,Afrobeats,Dm,120.0
id_eeILDaakekg,Afrobeats,Em,110.0
id_M9E0IMucvPs,Afrobeats,F,112.0
id_DUU7MPhdVfw,Afrodancehall,Cm,90.0
id_rEgtltrAON4,Dancehall,C#m,102.0
id__7yu0xGv63c,Country,C,150.0
id_yzxQJTSLPUU,Afrobeats,G,120.0
id_3zlw7zv_wVI,Igbo Pop/Ogene,Eb,154.2
id_P_ameXfjRyM,Amapiano,Fm,113.0
id_5DXKchPXDLc,Dancehall,F,96.0
id_GRzlg7M1zHQ,Afrodancehall,G,100.0
id_ID5auE-Wl4M,Others,G#m,89.0
id_bKGJsHjMISw,RnB,A,92.0
id_BAdFaI9TzOE,Others,F,130.0
id_Cenq07pjVag,Others,A,112.0
id_vN6qNDMeWm4,Afrobeats,Dm,130.1
id_IGrf0HxnaMU,Afrobeats,Gm,100.0
id_hH07iFf6xco,Others,G#m,120.0
id_AVpERFe3WUI,Hip Hop,A,99.5
id_O9s-Xf7YDII,Dancehall,G#,99.0
id_XkgMHudaKdA,Afrobeats,F,120.0
id_EZrIOU3aiEY,Others,A#,143.3
id_oP8EO4j68QA,Others,A#,108.6
id_Ea4037jcBu8,Others,A,121.0
id_qV3N4m7y9YM,Hip Hop,C#m,96.0
id_rmMA7cEblts,Afrobeats,Fm,123.0
id_xxMTgqNjZGo,Afrobeats,Bm,115.0
id_dhIbcgGMoU4,Dancehall,F,95.0
id_V_93E7sTWyY,Others,Eb,95.0
id_WLBvIEMlpwU,Others,Gm,110.4
id_uHw0s4pgT2Q,Others,C#m,129.1
id_Rsdopaqg85k,RnB,F,95.0
id_Qdv5fYOL7Dw,Amapiano,E,112.0
id_UavWkNJdp44,Afrobeats,A#,107.0
id_h2yga1PYu3g,Others,Bm,107.0
id_ejkNXMiVfPU,Afrobeats,F#m,106.0
id_EUOD7JVmh8M,Afrobeats,Ebm,100.0
id_yyAnpm6d05Q,Others,D,112.8
id_XbRrbqL66XU,Igbo Pop/Ogene,C,154.4
id_5GpAA-CG59Q,Afrobeats,D,123.0
id_yKvNZlidusw,Afrobeats,Dm,113.0
id_dgQWNYPXLOI,Afrobeats,Ebm,98.0
id_dkPR9Y3eO4c,Others,C#,100.0
id_KfeRx61E7Yc,Amapiano,D,112.0
id_-rqai46pJmQ,Others,Am,110.0
