channel_artiste_id,collection_owners,collection_id,collection_title,release_year,collection_type,update_time
UCw9FlX9lYekHPRw6_9SLWOA,Adekunle Gold & Nailah Blackman,MPREb_lnJg43P2Vc4,AG Baby,2020.0,Single,01/01/2023 19:42
UCbZKI-afOAF_gewoFoY-oXg,"Pappy Kojo, GuiltyBeatz, Mr Eazi & Patapaa",MPREb_IZZE9khMdfM,AKWAABA,2018.0,Single,01/01/2023 23:44
UCt7KNkaOhBpesOJHMx2ASnw,Fireboy DML,MPREb_9CxxmUZB4a6,APOLLO,2020.0,Album,01/01/2023 21:45
UCO4TFKYiSDo7vOQC04mr7Fg,Ayra Starr,MPREb_zZ5nAno56uL,ASE - A COLORS SHOW,2022.0,Single,01/01/2023 19:56
UC4VD3HwywldtzElu_kTfM_g,Magixx,MPREb_wQtsPzJm3rn,ATOM,2022.0,EP,01/01/2023 23:25
UCdIr60BXL9Vgs3Wgdce5O4g,AV,UCdIr60BXL9Vgs3Wgdce5O4g_Videos,AV_Videos,,Videos,2-1-2023 10:19
UCz4lijjm1xm7rJcip3ac65g,Oxlade,MPREb_6fwddGRq4sQ,AWAY,2020.0,Single,02/01/2023 00:14
UC2yYpgqxoUwu00Y3TMZ6cNA,IcePrince,MPREb_6wBY0QylcTa,Aboki,2012.0,Single,01/01/2023 22:20
UCw9FlX9lYekHPRw6_9SLWOA,Adekunle Gold,MPREb_jdhuchQ7niO,About 30,2018.0,Album,01/01/2023 19:42
UCLmx929V5XB__omAboRPkPA,"Rexxie, Naira Marley & Skiibii",MPREb_Y2bxAUayTbE,Abracadabra,2022.0,Single,01/01/2023 23:54
UCrGWxOYNj1pgNG-Ktt_TP4Q,"Rexxie, Naira Marley & Skiibii",MPREb_Y2bxAUayTbE,Abracadabra,2022.0,Single,02/01/2023 00:41
UCbZKI-afOAF_gewoFoY-oXg,"Boj, DaVido & Mr Eazi",MPREb_vU4NwVco2Tp,Abracadabra,2020.0,Single,01/01/2023 23:44
UCehhqT7086Y04HAQ121lu3g,"BOJ, Mr Eazi & Davido",MPREb_HR1pMRac1i0,Abracadabra,2020.0,Single,02/12/2022 12:27
UCbZKI-afOAF_gewoFoY-oXg,"BOJ, Mr Eazi & Davido",MPREb_HR1pMRac1i0,Abracadabra,2020.0,Single,02/12/2022 14:04
UCkpbqiPnZMHiUEoR0cZgo2Q,"Rexxie, Naira Marley & Skiibii",MPREb_Y2bxAUayTbE,Abracadabra,2022.0,Single,02/01/2023 01:01
UCehhqT7086Y04HAQ121lu3g,"Boj, DaVido & Mr Eazi",MPREb_vU4NwVco2Tp,Abracadabra,2020.0,Single,01/01/2023 20:57
UC3XOjF6pqQWILVLbZofrg2Q,Ajebutter22 & Falz,MPREb_FJtf4cwaJj6,Abroad,2014.0,Single,01/01/2023 21:31
UC4X7v-1s1W6XPq8g0Zs2VMw,Patoranking,MPREb_E5VmDtj4s0N,Abule,2020.0,Single,02/01/2023 00:19
UC4X7v-1s1W6XPq8g0Zs2VMw,Patoranking,MPREb_yzyzH7okCTj,Abule,2020.0,Single,02/12/2022 14:51
UCewvfSec6vlYgRV_cnMjU3g,Olamide,MPREb_xEG3xJ9o9k3,Abule Sowo,2016.0,Single,02/01/2023 00:01
UC_cE27XR3vVFMf4sYZVsj3A,Zoro & Phyno,MPREb_oG7PPzlgMzO,Achikolo,2016.0,Single,
UCe7IJd_8FJIETlOyhMvKU7A,Zoro & Phyno,MPREb_oG7PPzlgMzO,Achikolo,2016.0,Single,
UCe7IJd_8FJIETlOyhMvKU7A,Zoro,MPREb_KRycHDdNyp3,Achikolo,2019.0,Single,02/01/2023 02:13
UCe7IJd_8FJIETlOyhMvKU7A,Zoro,MPREb_giwRZVIonl0,Achikolo (feat. Phyno),2016.0,Single,02/01/2023 02:13
UCr61sufuLt7_eB7ak1bXHIg,Burnaboy,MPREb_5qY2KjuyhqH,Acting Bad,2016.0,Single,01/01/2023 20:24
UCr61sufuLt7_eB7ak1bXHIg,Saeon & Burna Boy,MPREb_huuwwxWcC58,Acting Bad,2016.0,Single,01/01/2023 20:24
UCzcjw-vbU2cDJ9ZySwb4uIg,D'Banj,MPREb_5Iu7zQsqDPW,Action,2018.0,Single,01/01/2023 21:09
UCehhqT7086Y04HAQ121lu3g,Stonebwoy & Davido,MPREb_sGDAWyiwbh3,Activate,2020.0,Single,01/01/2023 20:57
UCSA0ZddQC0SU0IlV6XIgbvA,1da Banton,MPREb_1LcpLuakIAE,Activate,2015.0,Single,01/01/2023 19:22
UCSXSWWhrP3C_lhUqO3qH6xw,Niniola,MPREb_J4l19TMMagu,Addicted,2020.0,Single,02/12/2022 14:20
UCSXSWWhrP3C_lhUqO3qH6xw,Niniola,MPREb_whTUgVFosTf,Addicted,2020.0,Single,01/01/2023 23:57
UCfuByKJ2B06MHdKXSnLM7Qg,Guchi,MPREb_6nDXx2N1o6m,Addicted,2019.0,Single,01/01/2023 22:03
UCfuByKJ2B06MHdKXSnLM7Qg,Guchi,MPREb_I9hK8H4TOZ2,Addicted,2019.0,Single,02/12/2022 13:10
UCw9FlX9lYekHPRw6_9SLWOA,Adekunle Gold,UCw9FlX9lYekHPRw6_9SLWOA_Videos,Adekunle Gold_Videos,,Videos,01/01/2023 19:42
UCw9FlX9lYekHPRw6_9SLWOA,"Afro Nation, Bisa Kdei & Adekunle Gold",MPREb_B4DUgp7BswZ,Adiza,2019.0,Single,02/12/2022 11:31
UCw9FlX9lYekHPRw6_9SLWOA,"Afro Nation, Bisa Kdei & Adekunle Gold",MPREb_teqXeqFSzLv,Adiza,2019.0,Single,01/01/2023 19:42
UCNBHI-xURToYIk3Xwkicdmw,Liya & Simi,MPREb_AgwR5K8Xrnr,Adua (Remix),2022.0,Single,02/01/2023 00:52
UCh71_mg-mGM1WzZVtqkBuMA,"Zlatan, Lakizo Entertainment & Ceeza Milli",MPREb_2RcRFs1vfaE,Adugbo (Rep Your Hood),2019.0,Single,02/01/2023 02:10
UCeM_6KLtHjn1xd3fShyqONQ,Dsaabs & Bella Shmurda,MPREb_BhEbilcatTb,Adura,2020.0,Single,01/01/2023 20:10
UCeM_6KLtHjn1xd3fShyqONQ,Bella Shmurda & Mohbad,MPREb_U5YxnVXNaaI,Adura,2019.0,Single,01/01/2023 20:10
UCewvfSec6vlYgRV_cnMjU3g,Olamide & Oyinkanade,MPREb_8UevqEAhuBM,Adura (Remix),2014.0,Single,02/01/2023 00:01
UCHxEAq_D6CJ1sn0tocJ6GdA,J.Derobie & Joeboy,MPREb_WS2caMZ24ij,Adwoa,2022.0,Single,01/01/2023 22:49
UCbZKI-afOAF_gewoFoY-oXg,"Angelique Kidjo, Mr Eazi & Salif Keïta",MPREb_drO5nAz63cL,"Africa, One of a Kind",2021.0,Single,01/01/2023 23:44
UC25DGtgYk5TwdksvtpeWYvA,WizKid,MPREb_efJv91hbKtS,African Bad Gyal (feat. Chris Brown),2017.0,Single,02/01/2023 01:50
UClVDzJUSV0X_tp2sceFHsxA,Yemi Alade,MPREb_IglthtEaah8,African Baddie,2022.0,Album,02/01/2023 01:56
UCr61sufuLt7_eB7ak1bXHIg,Burna Boy,MPREb_uBsMuZSnmah,African Giant,2019.0,Album,01/01/2023 20:24
UCz4lijjm1xm7rJcip3ac65g,Zoro & Oxlade,MPREb_6P2wBBBxNpu,African Girl Bad,2021.0,Single,02/01/2023 00:14
UCXVjLgq7BRStQjKLnN-4o-w,M.I Abaga,MPREb_CWxAzCgPzXW,African Knockout Soundtrack,2020.0,Single,01/01/2023 23:20
UCP-_jH7CH7xXEDfAsWJLiCw,Korede Bello,MPREb_n28gdmWzBR1,African Princess,2014.0,Single,01/01/2023 23:07
UCCjfbcoH0ZYT0r1jScDHJMg,Asake,MPREb_IGHfA3WKloq,African Something,2019,Single,2-1-2023 10:16
UCmcJ2ThWCw9id0Yjjqu4HVg,krizbeatz & Teni,MPREb_tdOeJqL7mn1,African Time,2020.0,Single,02/01/2023 01:12
UCSA0ZddQC0SU0IlV6XIgbvA,1da Banton,MPREb_b94SxolhBDq,African Woman,2020.0,Single,01/01/2023 19:22
UCSdKuswRnuEUmXu-ikPxqbA,Skales,MPREb_qRxhda1DSmw,Afro Dance,2020.0,Album,02/01/2023 00:56
UCw9FlX9lYekHPRw6_9SLWOA,Adekunle Gold,MPREb_KdN5AgVatzq,"Afro Pop, Vol. 1",2020.0,Album,01/01/2023 19:42
UCrGWxOYNj1pgNG-Ktt_TP4Q,Rexxie,MPREb_8rH48eQHslj,Afro Streets,2020.0,Album,02/01/2023 00:41
UCewvfSec6vlYgRV_cnMjU3g,"Olamide, Pepenazi & Energy gAD",MPREb_s2Lq8VoNQOX,Afrobeat To The World,2020.0,Single,02/01/2023 00:01
UCSdKuswRnuEUmXu-ikPxqbA,Skales & Orion OP1 Peace,MPREb_LxhvyttbKAe,After Hours,2017.0,Single,02/01/2023 00:56
UC4X7v-1s1W6XPq8g0Zs2VMw,Patoranking,MPREb_4z3B5VWhKGx,After Party,2022.0,Single,02/01/2023 00:19
UCNwUllQh84NeUHB56vTBAFw,Tekno,MPREb_mP36EOdvYx2,After Party,2022.0,Single,02/01/2023 01:09
UC4X7v-1s1W6XPq8g0Zs2VMw,Patoranking,MPREb_GsNnptQLabA,After Party,2022.0,Single,02/12/2022 14:51
UC4X7v-1s1W6XPq8g0Zs2VMw,Patoranking,MPREb_sq4mbyKYj4b,After Party,2022.0,EP,02/01/2023 00:19
UCy51adLS32LxWLM5a_ixezw,Wande Coal,MPREb_xNoFeeHMWM5,Again,2020.0,Single,02/01/2023 01:47
UCl2Z1l__4vNGRG5EQb7odpA,Lil Kesh,MPREb_5AZwr8LLJ3N,Again O,2018.0,Single,01/01/2023 23:15
UCh71_mg-mGM1WzZVtqkBuMA,Bella Alubo & Zlatan,MPREb_kg4BC8LykPs,Agbani (Remix),2019.0,Single,02/12/2022 17:18
UCl2Z1l__4vNGRG5EQb7odpA,Lil Kesh,MPREb_BUrShQlaE95,Agbani Darego,2020.0,Single,01/01/2023 23:15
UCgA-7_DsONWLkHl-cRSvvHg,KCee,MPREb_eHyy1vEconS,Agbomma,2015.0,Single,01/01/2023 22:58
UCh71_mg-mGM1WzZVtqkBuMA,Zlatan & Tekno,MPREb_ANesWaigswV,Agege,2019.0,Single,02/01/2023 02:10
UCNwUllQh84NeUHB56vTBAFw,Zlatan & Tekno,MPREb_ANesWaigswV,Agege,2019.0,Single,02/01/2023 01:09
UCzcjw-vbU2cDJ9ZySwb4uIg,D'Banj,MPREb_OmPgGlm7Ool,Agidi,2018.0,Single,01/01/2023 21:09
UCSdKuswRnuEUmXu-ikPxqbA,Skales,MPREb_ntbaEX7XJMF,Agolo,2017.0,Single,02/01/2023 00:56
UCUDkrpNBRUTZxeNpZCemDuw,Timaya,MPREb_hsBZihYqwsZ,Ah Blem Blem,2018.0,Single,02/01/2023 01:31
UCUDkrpNBRUTZxeNpZCemDuw,Timaya,MPREb_AyDD2tag4hX,Ah Blem Blem (Electric Bodega Remix),2018.0,Single,02/01/2023 01:31
UCkpbqiPnZMHiUEoR0cZgo2Q,Skiibii,MPREb_RGioUFvkZF5,Ah Skiibii,2016.0,Single,02/01/2023 01:01
UCkpbqiPnZMHiUEoR0cZgo2Q,Skiibii Feat. Olamide,MPREb_MUB1jfIoqsO,Ah Skiibii (Remix),2016.0,Single,02/01/2023 01:01
UCewvfSec6vlYgRV_cnMjU3g,"Olamide, Magnito & Tony Ross",MPREb_JzkP2JPX007,Ah!,2019.0,Single,02/01/2023 00:01
UC91Z3oHE250WqUE5watxC3A,Nonso Amadi,MPREb_ddjd0x5v7Mo,Aika,2017.0,Single,02/01/2023 00:00
UCwfpj2LQeVu7eA9g1s5Z-TQ,Seyi Shay,MPREb_7ur3zSHakKt,Airbrush,2019.0,Single,02/01/2023 00:50
UCh71_mg-mGM1WzZVtqkBuMA,Johny Kore & Zlatan,MPREb_T7usDOYEvFX,Aje,2020.0,Single,02/01/2023 02:10
UCXpwMBkmVT2PXVmMmAXateg,Ajebo Hustlers,UCXpwMBkmVT2PXVmMmAXateg_Videos,Ajebo Hustlers_Videos,,Videos,01/01/2023 19:49
UCHAKI88Cm5sWHr_O3wkRwxQ,Harrysong Feat. Duncan Mighty,MPREb_jzRRslTVyZI,Aka Gum,2016.0,Single,01/01/2023 22:05
UCSXSWWhrP3C_lhUqO3qH6xw,Niniola,MPREb_ajiXPCpza1e,Akara Oyibo,2015.0,Single,01/01/2023 23:57
UCoFTT1b0bB7oXarWEa94Aow,The Cavemen.,MPREb_F7jSXuOgR9G,Akaraka,2019.0,Single,01/01/2023 20:32
UCgA-7_DsONWLkHl-cRSvvHg,Kcee,MPREb_JSZVMxWgcNI,Akonuche,2018.0,Single,01/01/2023 22:58
UCe7IJd_8FJIETlOyhMvKU7A,Zoro,MPREb_Wedi9bp6EaS,Akpobi,2015.0,Single,02/01/2023 02:13
UCe7IJd_8FJIETlOyhMvKU7A,Zoro,MPREb_RMpgsIDMSvu,Akpobi,2015.0,Single,
UClK0GMAh7JMRRgyT7H85dUw,CDQ & Flavour,MPREb_t3GBci7wBls,Akwaba,2019.0,Single,01/01/2023 21:49
UC3XOjF6pqQWILVLbZofrg2Q,Dice Ailes & Falz,MPREb_9tlWIN29VcS,Alakori,2019.0,Single,01/01/2023 21:31
UCpzSGWR_sUBBf0F-HReYOKA,Mayorkun,MPREb_WJtu2OER6BP,Alarm,2022.0,Single,01/01/2023 23:33
UCzcjw-vbU2cDJ9ZySwb4uIg,D'Banj,MPREb_z76yhJu08tR,Alaye,2014.0,Single,01/01/2023 21:09
UCHxEAq_D6CJ1sn0tocJ6GdA,"Trave, Navy, Pikeras & Joeboy",MPREb_g6W04MzobP9,Alcohol,2022.0,Single,01/01/2023 22:49
UCh71_mg-mGM1WzZVtqkBuMA,Zlatan,MPREb_VDARWFgXVQH,Ale Yi,2021.0,Single,02/01/2023 02:10
UClK0GMAh7JMRRgyT7H85dUw,"Seyi Shay, Flavour & Dj Consequence",MPREb_Im9omGxd0gw,Alele,2018.0,Single,01/01/2023 21:49
UCwfpj2LQeVu7eA9g1s5Z-TQ,"Seyi Shay, Flavour & Dj Consequence",MPREb_Im9omGxd0gw,Alele,2018.0,Single,02/01/2023 00:50
UC4X7v-1s1W6XPq8g0Zs2VMw,VVIP & Patoranking,MPREb_YvSK3FNSwZu,Alhaji (Red Gold Green),2016.0,Single,02/01/2023 00:19
UCzp5sl69LRuTFz-a8NnuC3Q,"Steven Adeoye, T.I BLAZE, & Portable",MPREb_3TBHjBwW7DB,Ali (Remix),2022.0,Single,02/01/2023 01:24
UCy6qn2oxmoXA4_gBA5Q7zPw,Rema,MPREb_XlMvyDYJojv,Alien,2020.0,Single,02/01/2023 00:38
UCl61Ij0v5ulMS0UxvAxsXcg,P-Square,MPREb_8vKprOglYTN,Alingo,2012.0,Single,02/01/2023 00:15
UCgA-7_DsONWLkHl-cRSvvHg,Kcee Feat. Timaya,MPREb_ZguI5G8RwEm,Alkayida,2015.0,Single,01/01/2023 22:58
UCrGWxOYNj1pgNG-Ktt_TP4Q,Rexxie,MPREb_DfN3jgfJg7U,All (feat. Davido),2021.0,Single,02/01/2023 00:41
UC_lPr6_5dcv_1sOP_9Cubmg,WurlD,MPREb_rXP258FIOxL,All I Need,2017.0,Single,02/01/2023 01:54
UC6o_fs8z32M9dNeQkvC7EDA,Wale Turner & Reekado Banks,MPREb_hGa5djVMok0,All I Please,2022.0,Single,02/01/2023 00:35
UCXVjLgq7BRStQjKLnN-4o-w,M.I Abaga,MPREb_b84GkEX3Y3w,All My Life (feat. Oxlade),2021.0,Single,01/01/2023 23:20
UCz4lijjm1xm7rJcip3ac65g,"GuiltyBeatz, KiDi, & Oxlade",MPREb_1EuEClZBJ2g,All My Love (feat. DJ Vyrusky),2020.0,Single,02/01/2023 00:14
UCbEIMwqhkeaqddlqQSDI5cw,Tiwa Savage,MPREb_jBh0kCtjcBG,All Over,2017.0,Single,02/01/2023 01:37
UCbEIMwqhkeaqddlqQSDI5cw,Tiwa Savage,MPREb_2mXfqih8ofJ,All Over [Saint Oracle Refix] (feat. Beenie Man),2018.0,Single,02/01/2023 01:37
UC91Z3oHE250WqUE5watxC3A,Nonso Amadi,MPREb_jtEE69om4Eq,Alone,2015.0,EP,02/01/2023 00:00
UC60F2Ngz1ZkAP6v_PwgSY0A,Omah Lay,MPREb_qJysQHQQGC3,Alternate Cuts,2020.0,Single,02/01/2023 00:12
UCh71_mg-mGM1WzZVtqkBuMA,Zlatan,MPREb_QUwzhcDyEKI,Alubarika (feat. Buju),2021.0,Single,02/01/2023 02:10
UCh71_mg-mGM1WzZVtqkBuMA,DJ 4kerty & Zlatan,MPREb_riO8mRzgp8T,Alubarika Mixtape,2021.0,Single,02/01/2023 02:10
UCSdKuswRnuEUmXu-ikPxqbA,Skales,MPREb_uJA0RETpVlh,Always,2019.0,Single,02/01/2023 00:56
UCr61sufuLt7_eB7ak1bXHIg,Burna Boy,MPREb_Ode8ud4AKml,Always Love You,2013.0,Single,01/01/2023 20:24
UCLmx929V5XB__omAboRPkPA,Naira Marley & Zlatan,MPREb_W5OuCRkqjRP,Am I a Yahoo Boy,2019.0,Single,01/01/2023 23:54
UCppZ_aSXAY-zuzKigCRqAow,Amaarae,UCppZ_aSXAY-zuzKigCRqAow_Videos,Amaarae_Videos,,Videos,01/01/2023 19:51
UCSA0ZddQC0SU0IlV6XIgbvA,1da Banton,MPREb_D1eqK6VsnnZ,Amaka,2018.0,Single,01/01/2023 19:22
UCh71_mg-mGM1WzZVtqkBuMA,"Khaid, Zlatan & Rexxie",MPREb_UmGTW0jqs7y,Amala,2022.0,Single,02/01/2023 02:10
UCD6eR__YSGlBQ0rpx1Do6Uw,Chike,MPREb_DzPQyXEVU7h,Amen,2019.0,Single,01/01/2023 20:36
UCmcJ2ThWCw9id0Yjjqu4HVg,Teni,MPREb_elP2qy0gsC7,Amen,2016.0,Single,02/01/2023 01:12
